scope,name,path,lines,decision
hermes,huggingface-hub,/Users/alexjordan/.hermes/skills/mlops/huggingface-hub/SKILL.md,81,see_report
hermes,gguf,/Users/alexjordan/.hermes/skills/mlops/inference/gguf/SKILL.md,430,see_report
hermes,guidance,/Users/alexjordan/.hermes/skills/mlops/inference/guidance/SKILL.md,575,see_report
hermes,llama-cpp,/Users/alexjordan/.hermes/skills/mlops/inference/llama-cpp/SKILL.md,249,see_report
hermes,obliteratus,/Users/alexjordan/.hermes/skills/mlops/inference/obliteratus/SKILL.md,330,see_report
hermes,outlines,/Users/alexjordan/.hermes/skills/mlops/inference/outlines/SKILL.md,655,see_report
hermes,serving-llms-vllm,/Users/alexjordan/.hermes/skills/mlops/inference/serving-llms-vllm/SKILL.md,373,see_report
hermes,llm-gateway-routing,/Users/alexjordan/.hermes/skills/mlops/llm-gateway-routing/SKILL.md,111,see_report
hermes,audiocraft,/Users/alexjordan/.hermes/skills/mlops/models/audiocraft/SKILL.md,568,see_report
hermes,clip,/Users/alexjordan/.hermes/skills/mlops/models/clip/SKILL.md,256,see_report
hermes,segment-anything,/Users/alexjordan/.hermes/skills/mlops/models/segment-anything/SKILL.md,506,see_report
hermes,stable-diffusion,/Users/alexjordan/.hermes/skills/mlops/models/stable-diffusion/SKILL.md,522,see_report
hermes,whisper,/Users/alexjordan/.hermes/skills/mlops/models/whisper/SKILL.md,320,see_report
hermes,dspy,/Users/alexjordan/.hermes/skills/mlops/research/dspy/SKILL.md,593,see_report
hermes,axolotl,/Users/alexjordan/.hermes/skills/mlops/training/axolotl/SKILL.md,161,see_report
hermes,grpo-rl-training,/Users/alexjordan/.hermes/skills/mlops/training/grpo-rl-training/SKILL.md,575,see_report
hermes,peft,/Users/alexjordan/.hermes/skills/mlops/training/peft/SKILL.md,434,see_report
hermes,pytorch-fsdp,/Users/alexjordan/.hermes/skills/mlops/training/pytorch-fsdp/SKILL.md,129,see_report
hermes,trl-fine-tuning,/Users/alexjordan/.hermes/skills/mlops/training/trl-fine-tuning/SKILL.md,458,see_report
